Айдаров Нургазы Абдыраевич,0312 63-87-76,"Биография
 Родился 16 января 1966 года в селе Гульча Алайского района Ошской области. Кыргыз. Образование высшее.
В 1986 году окончил Кыргызский государственный университет.
Трудовую деятельность начал в 1986 году нормировщиком на Ошском комбинате по производству товаров народного потребления.
В 1988-1989 годы заместитель секретаря комитета  комсомола фабрики «Индпошив одежды», секретарь комитета комсомола ОПО «Ошбытуслуги».
В 1989 году заведующий отделом социально-экономических проблем молодежи Ошского горкома ЛКСМ Киргизии.
1989 по 1991 год–первый секретарь Кара-Суйского  РК ЛКСМ  Киргизии.
В 1992 году стал заместителем директора Ошского завода «Рембыт-техника».
С 1992 по 1997 года генеральный директор СП «Казахстан-Кыргызстан».
С 1997 по 2003 года региональный директор  по югу в компании «Экспорт-Астык».
С 2003 по 2005 год - вице-президент ОсОО «Си-БУ».
С 2005 по 2007 года – региональный менеджер программы по региональному развитию и прогрессу в Фонде Ага Хана.
2000 по 2005 года депутат Собрания народных представителей Жогорку Кенеша  Кыргызской Республики II созыва.
2007 по 2010 года  депутат Жогорку Кенеша  Кыргызской Республики IV созыва.
2010 по 2015 года по списку идеалистической демократической политической партии «Ата-Журт» избран депутатом Жогорку Кенеша Кыргызской Республики V созыва.         
С мая 2020 года по настоящее время депутат Жогорку Кенеша Кыргызской Республики VI созыва.
Государственный советник государственной службы II класса.
Женат, отец троих детей."
,,
Айдаров Салайдин Абдираевич,0312 63-85-50,"Биография
 Родился 17 июля 1969 года в селе Гульча Алайского района Ошской области. Образование высшее.  
В 1986 году поступил в сельскохозяйственный институт имени К.И.Скрябина который окончил в 1992 году по специальности «ученого агронома». В 1996 году окончил Кыргызский Государственный университет по специальности «экономика и организация управления производства»
В 1988 - 1989 годы служил в рядах Советской Армии.
1992 по 1994 годы работал в сфере торговли
1994 по 2000 годы работал на разных должностях Государственной таможенной службы.
2000 по 2003 годы Начальник Ошской таможенной службы.
2003 по 2004 годы Руководитель Аппарата Комитета по доходам.
2004 по 2006 годы Начальник управления Комитета по доходам.
2006 по 2007 годы Председатель Государственного Таможенного Комитета
В 2009 году был уволен со службы в таможенных органах по выслуге срока службы.
В 2006 году получил звание «генерал-майор» таможенной службы КР.
В 2015 году избран депутатом Жогорку Кенеша Кыргызской Республики VI созыва от политической партии «Кыргызстан».
В 2018 году избран Председателем комитета по экономичесской и фискальной политике
Имеет звание генерал-майор таможенной службы.
Женат, отец 5 детей."
Айдаров Салайдин Абдираевич,0312 63-85-50,"Биография
 Родился 17 июля 1969 года в селе Гульча Алайского района Ошской области. Образование высшее.  
В 1986 году поступил в сельскохозяйственный институт имени К.И.Скрябина который окончил в 1992 году по специальности «ученого агронома». В 1996 году окончил Кыргызский Государственный университет по специальности «экономика и организация управления производства»
В 1988 - 1989 годы служил в рядах Советской Армии.
1992 по 1994 годы работал в сфере торговли
1994 по 2000 годы работал на разных должностях Государственной таможенной службы.
2000 по 2003 годы Начальник Ошской таможенной службы.
2003 по 2004 годы Руководитель Аппарата Комитета по доходам.
2004 по 2006 годы Начальник управления Комитета по доходам.
2006 по 2007 годы Председатель Государственного Таможенного Комитета
В 2009 году был уволен со службы в таможенных органах по выслуге срока службы.
В 2006 году получил звание «генерал-майор» таможенной службы КР.
В 2015 году избран депутатом Жогорку Кенеша Кыргызской Республики VI созыва от политической партии «Кыргызстан».
В 2018 году избран Председателем комитета по экономичесской и фискальной политике
Имеет звание генерал-майор таможенной службы.
Женат, отец 5 детей."
,,
Айнакулов Мухтарбек Айнакулович,0312 63-85-45,"Биография
 Родился 13 ноября 1957 года в селе Сосновка Жайылского района Чуйской области.
Образование высшее. С 1977-1981 гг. учился во ВГИКе им. С. А. Герасимова г. Москва, 1981-1983 гг. ГИТИС им. А. В. Луначарского г. Москва; получил специальность «актер-режиссер». 
В 1983 году начал свою трудовую деятельность в качестве режиссера, актера в Ысык-Кульском драматическом театре им. К. Жантошева в городе Пржевальск.
С 2007-2011 гг. - студия “Бишкек-Фильм” режиссер в г. Бишкек.
С 2012-2014гг.- заместитель директора ПП “Сакчы” СЭЗ “Бишкек”.
С 2014-2015 гг.- ведуший специалист ПП “Сервис” СЭЗ “Бишкек”
В 2015 году избран депутатом VI созыва ЖК КР по списку СДПК.
Отец двух детей."
Айнакулов Мухтарбек Айнакулович,0312 63-85-45,"Биография
 Родился 13 ноября 1957 года в селе Сосновка Жайылского района Чуйской области.
Образование высшее. С 1977-1981 гг. учился во ВГИКе им. С. А. Герасимова г. Москва, 1981-1983 гг. ГИТИС им. А. В. Луначарского г. Москва; получил специальность «актер-режиссер». 
В 1983 году начал свою трудовую деятельность в качестве режиссера, актера в Ысык-Кульском драматическом театре им. К. Жантошева в городе Пржевальск.
С 2007-2011 гг. - студия “Бишкек-Фильм” режиссер в г. Бишкек.
С 2012-2014гг.- заместитель директора ПП “Сакчы” СЭЗ “Бишкек”.
С 2014-2015 гг.- ведуший специалист ПП “Сервис” СЭЗ “Бишкек”
В 2015 году избран депутатом VI созыва ЖК КР по списку СДПК.
Отец двух детей."
,,
Акаев  Жанарбек Кубанычович,63-85-87,"Биография
 Родился в 13 декабря 1986 году в Алайском районе Ошской области в селе Кабылан-Көл.
Образование высшее. В 2009 году окончил факультет журналистики в Ошском государственном университете.
С 2008 года работает в Кыргызской службе радио ""Азаттык"".
Февраль — август 2015 года — пресс-секретарь президента Кыргызской Республики. 
С октября 2015 года избран депутатом Жогорку Кенеша VI созыва по списку Социал-демократической партии Кыргызстана. 
C 2015 - 2017 гг — Заместитель председателя комитета по социальным вопросам, образованию, науке, культуре и здравоохранению ЖК КР
В 2011 году стал обладателем премии ""Золотое перо Евразии"" 
В 2014 году удостоился премии ""Курч калем"" от общественного фонда имени Мелиса Эшимканова.
Женат. Воспитывает двух сыновей."
Акаев  Жанарбек Кубанычович,63-85-87,"Биография
 Родился в 13 декабря 1986 году в Алайском районе Ошской области в селе Кабылан-Көл.
Образование высшее. В 2009 году окончил факультет журналистики в Ошском государственном университете.
С 2008 года работает в Кыргызской службе радио ""Азаттык"".
Февраль — август 2015 года — пресс-секретарь президента Кыргызской Республики. 
С октября 2015 года избран депутатом Жогорку Кенеша VI созыва по списку Социал-демократической партии Кыргызстана. 
C 2015 - 2017 гг — Заместитель председателя комитета по социальным вопросам, образованию, науке, культуре и здравоохранению ЖК КР
В 2011 году стал обладателем премии ""Золотое перо Евразии"" 
В 2014 году удостоился премии ""Курч калем"" от общественного фонда имени Мелиса Эшимканова.
Женат. Воспитывает двух сыновей."
,,
Акматов Алмазбек Жумабекович,0312 63-88-21,"Биография
 Родился 18 октября 1964 года в Нарынской области. В 1986 году закончил Новосибирское высшее военно-политическое общевойсковое училище.
В 2002году - Академия Управления при Президенте Кыргызской Республики по специальности «Менеджмент». В 2008 году - Дипломатическая Академия МИД Кыргызской Республики по специальности «Международное экономическое отношения. В 2011 году -КГНУ им Ж.Баласагына по специальности «Финансы и кредит». 
Свою трудовую деятельность начал с 1986-1991 годы со службы в Вооружённых сил СССР на разных должностях политработника;
1991-2001 гг. Генеральный директор совместно с кыргызско-китайского ОсОО «Торугарт-Транзит»;
2001-2002 гг. Начальник главного управления по охране и регулированию использования охотничьих ресурсов (ГЛАВОХОТА);
2002-2004 гг. заместитель управляющего делами Президента Кыргызской Республики;
2005-2006 гг. Управляющий делами Президента Кыргызской Республики;
2007-2012 гг. Руководитель территориального подразделения Счётной Палаты Кыргызской Республики по городу Бишкек, Чуйской и Таласской области.
С 2015 г. – депутат Жогорку Кенеша Кыргызской Республики
Заместитель председателя комитета аграрной политике, водным ресурсам, экологии и региональному развитию.
Женат. Отец 5 детей."
Акматов Алмазбек Жумабекович,0312 63-88-21,"Биография
 Родился 18 октября 1964 года в Нарынской области. В 1986 году закончил Новосибирское высшее военно-политическое общевойсковое училище.
В 2002году - Академия Управления при Президенте Кыргызской Республики по специальности «Менеджмент». В 2008 году - Дипломатическая Академия МИД Кыргызской Республики по специальности «Международное экономическое отношения. В 2011 году -КГНУ им Ж.Баласагына по специальности «Финансы и кредит». 
Свою трудовую деятельность начал с 1986-1991 годы со службы в Вооружённых сил СССР на разных должностях политработника;
1991-2001 гг. Генеральный директор совместно с кыргызско-китайского ОсОО «Торугарт-Транзит»;
2001-2002 гг. Начальник главного управления по охране и регулированию использования охотничьих ресурсов (ГЛАВОХОТА);
2002-2004 гг. заместитель управляющего делами Президента Кыргызской Республики;
2005-2006 гг. Управляющий делами Президента Кыргызской Республики;
2007-2012 гг. Руководитель территориального подразделения Счётной Палаты Кыргызской Республики по городу Бишкек, Чуйской и Таласской области.
С 2015 г. – депутат Жогорку Кенеша Кыргызской Республики
Заместитель председателя комитета аграрной политике, водным ресурсам, экологии и региональному развитию.
Женат. Отец 5 детей."
,,
Алимбеков Нурбек Каарыевич,0312 63-91-46,"Биография
 Родился 13 марта 1975 года в с. Папан Кара-Суйского района Ошской области.
Образование высшее, в 1997 году окончил Ошский технологический университет по специальности «инженер-технолог». В 2000 году окончил юридический факультет Ошского технологического университета, в 2007 году – КГНУ им. Ж.Баласагына по специальности «финансы и кредит», в 2012 году – Академию Управления при Президенте Кыргызской Республики. С 2008 года - аспирант БГУ по специальности «экономика».
В 2003-2005 годы - директор ЧП «Алимбеков».
В 2005-2006 годы - ведущий специалист Министерства финансов Кыргызской Республики.
С 2008 по 2010 год - директор ОсОО «Папан Курулуш».
В 2008-2010 годы - депутат Бишкекского городского кенеша, руководитель территориальной депутатской группы Свердловского района.
В октябре 2010 года по списку политической партии «Республика» избран депутатом Жогорку Кенеша Кыргызской Республики V созыва. Заместитель председателя Комитета Жогорку Кенеша по транспорту, коммуникациям, архитектуре и строительству.
В 2015 году избран депутатом Жогорку Кенеша Кыргызской Республики VI созыва. Избран заместителем Торага Жогорку Кенеша Кыргызской Республики.
Женат, отец пятерых детей."
Алимбеков Нурбек Каарыевич,0312 63-91-46,"Биография
 Родился 13 марта 1975 года в с. Папан Кара-Суйского района Ошской области.
Образование высшее, в 1997 году окончил Ошский технологический университет по специальности «инженер-технолог». В 2000 году окончил юридический факультет Ошского технологического университета, в 2007 году – КГНУ им. Ж.Баласагына по специальности «финансы и кредит», в 2012 году – Академию Управления при Президенте Кыргызской Республики. С 2008 года - аспирант БГУ по специальности «экономика».
В 2003-2005 годы - директор ЧП «Алимбеков».
В 2005-2006 годы - ведущий специалист Министерства финансов Кыргызской Республики.
С 2008 по 2010 год - директор ОсОО «Папан Курулуш».
В 2008-2010 годы - депутат Бишкекского городского кенеша, руководитель территориальной депутатской группы Свердловского района.
В октябре 2010 года по списку политической партии «Республика» избран депутатом Жогорку Кенеша Кыргызской Республики V созыва. Заместитель председателя Комитета Жогорку Кенеша по транспорту, коммуникациям, архитектуре и строительству.
В 2015 году избран депутатом Жогорку Кенеша Кыргызской Республики VI созыва. Избран заместителем Торага Жогорку Кенеша Кыргызской Республики.
Женат, отец пятерых детей."
,,
Алтыбаева Айнуру Тойчиевна,0312 63-86-16,"Биография
 Родилась 28 февраля 1958 года в г.Ош. Образование высшее.В 1979 году окончила Кыргызский государственный университет по специальности экономист, в 1998 году Кыргызский государственный университет по специальности юриспруденция. 
После окончания вуза с 1979 по 1997 годы работала в Ошском облисполкоме, на различных должностях. 
С 1997 по 2006 годы работала в структурных подразделениях Государственной налоговой службы Кыргызской Республики.
В 2007-2008 годы – советник председателя Социального фонда Кыргызской Республики, заместитель начальника Свердловского районного управления Социального фонда Кыргызской Республики.
В 2008-2010 годы – Жогорку Кенеш Кыргызской Республики, консультант.
В 2010г. избрана Председателем общественного объединения «Аялдар Кенеши» и председателем Демократической партии Кыргызстана «Биримдик».
В октябре 2010 года по списку политической партии «Ар Намыс» избрана депутатом Жогорку Кенеша Кыргызской Республики V созыва.
В ноябре 2012 года избрана председателем Комитета по регламенту Жогорку Кенеша и депутатской этике.
В октябре 2015 года избрана по списку политической партии “СДПК” депутатом Жогорку Кенеша Кыргызской Республики VI созыва.
Классные чины:
Государственный советник государственной службы 3 класса. 
Отличник государственной службы Кыргызской Республики.
Отличник финансово-экономической работы Кыргызской Республики
Почетное звание:
«Заслуженный работник государственной службы Кыргызской Республики»
Награды:
Почетная грамота Жогорку Кенеша Кыргызской Республики
Почетная грамота Межпарламентской ассамблеи государств-участников Содружества независимых государств.
Медали:
«Акыйкат»
«Мээримдуулук»
«Датка айым»
Замужем, двое детей."
